Age,Credit amount,Duration,Job_1,Job_2,Job_3,Sex_male,Housing_own,Housing_rent,Saving accounts_1,Saving accounts_2,Saving accounts_3,Checking account_1,Checking account_2,Purpose_car,Purpose_domestic appliances,Purpose_education,Purpose_furniture/equipment,Purpose_radio/TV,Purpose_repairs,Purpose_vacation/others,Risk_True
2.267,-0.441,-1.0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
-0.733,1.393,2.5,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1
1.067,-0.086,-0.5,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0.8,2.134,2.0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1.333,0.978,0.5,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
0.133,2.584,1.5,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
1.333,0.198,0.5,0,1,0,1,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0
0.133,1.776,1.5,0,0,1,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0
1.867,0.284,-0.5,1,0,0,1,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0
-0.333,1.118,1.0,0,0,1,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1
-0.533,-0.393,-0.5,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1
-0.6,0.763,2.5,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
-0.733,-0.289,-0.5,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0
1.8,-0.43,0.5,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1
-0.333,-0.352,-0.25,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
-0.067,-0.398,0.5,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1
1.333,0.04,0.5,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0
-0.533,2.207,1.0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.733,3.936,0.5,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1
-0.133,0.426,0.5,0,1,0,1,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0
1.0,-0.071,-0.75,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
0.733,0.126,-1.0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0
1.0,-0.03,-0.667,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
0.733,-0.198,-0.5,0,1,0,1,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0
-0.467,-0.096,-0.667,0,1,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
0.2,-0.363,-1.0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0.4,-0.726,-1.0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0.6,-0.733,-0.5,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0
0.067,0.037,-0.917,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0
2.0,1.733,3.5,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0.2,-0.156,0.0,0,1,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0
-0.4,0.652,0.5,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
-0.2,1.361,0.0,0,1,0,1,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0
1.6,-0.405,-0.5,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
0.0,-0.324,-0.5,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0
-0.533,0.931,2.25,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1
-0.133,1.454,2.5,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0.267,-0.084,0.0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1
0.267,-0.42,-0.667,0,1,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0
-0.6,-0.714,-0.75,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0
-0.2,0.005,1.0,0,0,1,1,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0
-0.467,-0.446,-0.5,0,1,0,1,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0
0.733,1.49,0.0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0
-0.6,1.484,1.0,0,1,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0
1.667,1.467,2.5,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
0.133,-0.355,-0.583,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
0.4,-0.008,1.5,0,1,0,1,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0
-0.667,-0.371,-1.0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0
0.4,1.883,-0.583,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
-0.333,-0.095,-0.5,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0
-0.267,0.005,0.5,1,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
-0.2,1.398,0.75,0,0,1,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0
-0.533,-0.406,-0.5,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
-0.133,0.406,0.0,0,1,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0
1.6,-0.036,1.5,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1
-0.467,-0.589,-1.0,1,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0
1.267,1.591,-0.5,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1
-0.133,2.78,1.5,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
-0.667,-0.138,0.0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0
-0.667,1.5,1.5,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1
-0.4,-0.356,-0.75,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1.133,-0.3,-0.25,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0
1.867,-0.141,1.5,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
-0.533,4.642,2.5,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1
-0.467,0.33,0.5,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1.0,1.101,0.75,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0
-0.267,-0.057,-0.5,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
-0.733,-0.504,-0.5,0,1,0,1,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0
0.267,-0.192,1.5,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
-0.533,0.029,1.5,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0
-0.2,2.23,1.5,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
0.867,-0.61,-0.917,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0
1.2,-0.443,-0.833,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0.533,1.394,2.0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
0.467,-0.131,1.5,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1
2.2,-0.304,-0.5,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
0.067,0.631,2.0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1
1.2,0.94,-0.583,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0
0.4,2.73,3.0,1,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0
-0.733,0.58,1.0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
0.733,1.39,0.5,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1
0.933,-0.424,-0.25,0,1,0,1,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0
-0.6,-0.288,0.0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0
1.667,-0.217,0.5,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1.267,-0.002,-0.667,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
-0.267,-0.348,-0.5,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-0.4,-0.393,0.0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
0.933,3.948,1.5,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1
-0.2,-0.027,0.0,0,0,1,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0
-0.333,-0.465,-0.5,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1
1.533,-0.653,-0.5,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1.4,-0.349,-0.5,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
0.0,-0.584,-0.5,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1
-0.867,0.498,0.5,0,1,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0
1.4,-0.384,-0.5,0,1,0,1,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0
1.667,5.227,3.0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1
1.867,-0.118,-0.5,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0
0.067,0.116,0.0,0,1,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0
0.2,0.007,1.5,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0
0.2,1.817,0.167,0,0,1,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0
0.533,-0.326,0.5,1,0,0,1,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0
-0.6,0.001,1.5,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0
-0.6,-0.532,-1.0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0.133,-0.154,-0.75,0,1,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0
-0.467,0.048,-0.5,0,1,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0
0.4,3.69,0.5,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1
0.4,1.588,0.0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1
-0.067,1.442,-0.5,0,1,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0
-0.2,2.072,0.5,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0.133,-0.349,-0.333,0,1,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0
-0.133,-0.334,-1.0,0,1,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0
-0.667,-0.739,-0.25,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0
-0.333,1.512,0.0,1,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0
-0.533,2.124,1.5,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1
0.133,-0.245,-0.5,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0
0.933,0.483,2.5,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0
-0.2,1.862,2.0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1
-0.4,-0.072,-0.667,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
-0.667,0.752,1.25,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1
0.2,0.018,-0.5,0,0,1,1,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0
-0.533,-0.186,0.25,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1
0.533,0.594,0.5,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
-0.6,-0.212,-0.5,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
2.0,-0.59,-0.667,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
-0.4,-0.152,0.0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1
-0.2,-0.076,-0.5,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
0.467,-0.621,-0.5,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
-0.2,-0.645,-0.5,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1
0.067,-0.176,-0.5,0,0,1,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0
-0.267,0.452,-0.5,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1
-0.6,2.366,2.5,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0
-0.267,1.752,1.5,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1
-0.4,0.149,-0.25,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0.933,-0.129,0.0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
-0.8,3.002,3.5,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0
0.333,-0.414,-0.5,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0
-0.4,2.414,0.75,0,1,0,1,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0
2.2,-0.596,-0.5,1,0,0,1,1,0,0,1,0,1,0,0,0,0,0,1,0,0,1
0.133,0.157,-0.25,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0
0.733,-0.168,-0.5,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0
-0.4,-0.618,-1.0,0,0,0,1,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0
-0.2,0.95,1.5,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0
-0.4,0.421,0.75,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
-0.733,0.055,0.0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1
-0.667,-0.012,0.25,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
-0.2,0.478,2.5,0,1,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0
0.4,-0.56,-1.0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1.2,-0.628,-0.5,0,1,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0
-0.333,1.171,1.5,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0.867,-0.283,0.0,0,1,0,1,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0
0.6,-0.373,-1.0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0
0.333,-0.152,-0.667,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
-0.6,1.354,1.5,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0
-0.267,2.086,0.5,0,1,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0
0.2,1.783,0.5,0,0,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0
-0.867,-0.398,-0.5,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1
1.0,-0.396,-0.75,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0
0.8,-0.76,-0.5,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0.333,0.457,0.5,0,1,0,1,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0
0.067,-0.162,-1.0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0
0.2,0.212,0.5,0,1,0,1,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0
-0.2,-0.485,0.0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
0.2,-0.406,-0.25,0,1,0,1,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0
2.467,1.914,-0.667,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
0.2,-0.541,1.5,0,1,0,1,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0
-0.067,0.253,-1.0,0,1,0,1,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0
0.0,-0.456,0.0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1
-0.867,-0.285,-0.583,0,1,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0
-0.533,0.634,0.5,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
-0.133,-0.148,0.5,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1
0.0,-0.525,-0.25,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1
-0.467,-0.597,-0.5,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0.067,-0.098,0.5,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1
0.0,-0.347,-0.833,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0
-0.467,0.42,0.25,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1
1.333,1.982,1.0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1
0.6,0.099,-0.5,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1.267,-0.76,-1.0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0
-0.133,-0.137,-0.5,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
2.133,-0.671,0.25,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
-0.333,2.782,1.5,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
-0.2,0.819,1.5,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1
0.467,-0.258,0.25,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1
1.133,0.559,0.5,0,1,0,1,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0
0.2,-0.551,0.0,0,1,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1
-0.133,-0.368,-0.25,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2.733,1.078,-0.75,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1
2.333,-0.439,-0.167,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
-0.867,-0.631,-0.5,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1
0.0,0.355,0.0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
1.4,0.871,0.5,0,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1
0.067,0.585,2.5,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1
0.2,0.612,0.75,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1
-0.267,-0.081,-1.0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
-0.8,0.273,2.25,0,1,0,1,0,1,1,0,0,1,0,0,0,0,0,1,0,0,1
0.067,-0.314,-0.75,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1
-0.333,-0.36,-1.0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
-0.4,-0.525,-0.5,0,1,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,1
0.2,0.169,0.5,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
0.467,0.759,0.0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1
1.267,-0.531,-0.75,0,1,0,1,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0
-0.4,-0.442,-0.5,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
-0.467,1.073,0.75,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-0.8,-0.544,-0.5,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
0.333,-0.316,-0.5,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
0.333,3.185,1.0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
0.667,-0.148,-0.5,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
-0.467,-0.344,-0.5,0,1,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0
-0.8,1.63,0.5,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.467,-0.348,-0.5,0,1,0,1,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0
0.0,0.289,-0.75,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0
0.8,0.581,1.5,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0
1.133,1.141,0.75,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2.2,-0.158,1.0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1
1.2,0.392,1.5,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0
0.4,-0.532,-1.0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0
-0.133,0.301,0.0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-0.667,0.611,1.5,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0
-0.6,0.269,0.5,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
2.067,-0.367,-0.667,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
-0.467,-0.65,-0.5,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0
-0.667,-0.429,-0.5,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
-0.2,-0.619,-0.5,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
-0.067,0.253,0.5,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
-0.2,0.897,-0.25,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
-0.4,0.113,1.5,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
-0.4,3.315,2.5,0,1,0,1,1,0,0,0,1,1,0,0,0,0,0,1,0,0,1
1.333,2.127,-0.5,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
-0.733,-0.323,-0.75,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1
-0.733,0.318,0.5,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
-0.467,0.725,1.5,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1
1.2,0.072,-0.75,1,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0
0.133,-0.068,-0.5,0,1,0,1,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0
-0.533,-0.558,0.0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0
0.6,-0.297,-1.167,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
-0.2,-0.19,0.5,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1
-0.667,4.694,-1.0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1
1.867,0.172,0.25,1,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1
0.133,-0.395,-0.5,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0.4,0.078,1.0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
-0.267,-0.539,0.5,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1
1.2,-0.278,-1.0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
-0.6,0.877,2.5,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
-0.4,-0.435,-0.5,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.133,0.433,-0.5,1,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0
-0.533,-0.407,0.5,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
